id,name,zip_id/id
district_sv_070115,Suchitoto,l10n_sv_base_location.zip_sv_0701_01415
district_sv_070201,Candelaria,l10n_sv_base_location.zip_sv_0702_01302
district_sv_070202,Cojutepeque,l10n_sv_base_location.zip_sv_0702_01401
district_sv_070203,El Carmen,l10n_sv_base_location.zip_sv_0702_01403
district_sv_070204,El Rosario,l10n_sv_base_location.zip_sv_0702_01404
district_sv_070205,Monte San Juan,l10n_sv_base_location.zip_sv_0702_01405
district_sv_070208,San Cristóbal,l10n_sv_base_location.zip_sv_0702_01408
district_sv_070211,San Rafael Cedros,l10n_sv_base_location.zip_sv_0702_01411
district_sv_070212,San Ramón,l10n_sv_base_location.zip_sv_0702_01412
district_sv_070213,Santa Cruz Analquito,l10n_sv_base_location.zip_sv_0702_01413
district_sv_070214,Santa Cruz Michapa,l10n_sv_base_location.zip_sv_0702_01414
district_sv_070216,Tenancingo,l10n_sv_base_location.zip_sv_0702_01416
district_sv_080102,El Rosario / Rosario de La Paz,l10n_sv_base_location.zip_sv_0801_01604
district_sv_080103,Jerusalén,l10n_sv_base_location.zip_sv_0801_01605
district_sv_080104,Mercedes La Ceiba,l10n_sv_base_location.zip_sv_0801_01607
district_sv_080106,Paraíso de Osorio,l10n_sv_base_location.zip_sv_0801_01609
district_sv_080107,San Antonio Masahuat,l10n_sv_base_location.zip_sv_0801_01610
district_sv_080108,San Emigdio,l10n_sv_base_location.zip_sv_0801_01611
district_sv_080112,San Juan Tepezontes,l10n_sv_base_location.zip_sv_0801_01615
district_sv_080114,San Miguel Tepezontes,l10n_sv_base_location.zip_sv_0801_01617
district_sv_080116,San Pedro Nonualco,l10n_sv_base_location.zip_sv_0801_01619
district_sv_080118,Santa María Ostuma,l10n_sv_base_location.zip_sv_0801_01621
district_sv_080119,Santiago Nonualco,l10n_sv_base_location.zip_sv_0801_01622
district_sv_080122,San Luis La Herradura,l10n_sv_base_location.zip_sv_0801_01606
district_sv_080210,San Juan Nonualco,l10n_sv_base_location.zip_sv_0802_01613
district_sv_080217,San Rafael Obrajuelo,l10n_sv_base_location.zip_sv_0802_01620
district_sv_080221,Zacatecoluca,l10n_sv_base_location.zip_sv_0802_01601
district_sv_080301,Cuyultitán,l10n_sv_base_location.zip_sv_0803_01603
district_sv_080305,Olocuilta,l10n_sv_base_location.zip_sv_0803_01608
district_sv_080309,San Francisco Chinameca,l10n_sv_base_location.zip_sv_0803_01612
district_sv_080311,San Juan Talpa,l10n_sv_base_location.zip_sv_0803_01614
district_sv_080313,San Luis Talpa,l10n_sv_base_location.zip_sv_0803_01616
district_sv_080315,San Pedro Masahuat,l10n_sv_base_location.zip_sv_0803_01618
district_sv_080320,Tapalhuaca,l10n_sv_base_location.zip_sv_0803_01623
district_sv_090102,Guacotecti,l10n_sv_base_location.zip_sv_0901_01203
district_sv_090105,San Isidro,l10n_sv_base_location.zip_sv_0901_01207
district_sv_090106,Sensuntepeque,l10n_sv_base_location.zip_sv_0901_01201
district_sv_090108,Victoria,l10n_sv_base_location.zip_sv_0901_01210
district_sv_090109,Dolores / Villa Dolores,l10n_sv_base_location.zip_sv_0901_01209
district_sv_090201,Cinquera,l10n_sv_base_location.zip_sv_0902_01202
district_sv_090203,Ilobasco,l10n_sv_base_location.zip_sv_0902_01204
district_sv_090204,Jutiapa,l10n_sv_base_location.zip_sv_0902_01206
district_sv_090207,Tejutepeque,l10n_sv_base_location.zip_sv_0902_01208
district_sv_100101,Apastepeque,l10n_sv_base_location.zip_sv_1001_01702
district_sv_100104,Santa Clara,l10n_sv_base_location.zip_sv_1001_01709
district_sv_100105,Santo Domingo,l10n_sv_base_location.zip_sv_1001_01710
district_sv_100106,San Esteban Catarina,l10n_sv_base_location.zip_sv_1001_01705
district_sv_100107,San Ildefonso,l10n_sv_base_location.zip_sv_1001_01706
district_sv_100108,San Lorenzo,l10n_sv_base_location.zip_sv_1001_01707
district_sv_100109,San Sebastián,l10n_sv_base_location.zip_sv_1001_01708
district_sv_100202,Guadalupe,l10n_sv_base_location.zip_sv_1002_01703
district_sv_100203,San Cayetano Istepeque,l10n_sv_base_location.zip_sv_1002_01704
district_sv_100210,San Vicente,l10n_sv_base_location.zip_sv_1002_01701
district_sv_100211,Tecoluca,l10n_sv_base_location.zip_sv_1002_01711
district_sv_100212,Tepetitán,l10n_sv_base_location.zip_sv_1002_01712
district_sv_100213,Verapaz,l10n_sv_base_location.zip_sv_1002_01713
district_sv_110103,California,l10n_sv_base_location.zip_sv_1101_03404
district_sv_110104,Concepción Batres,l10n_sv_base_location.zip_sv_1101_03405
district_sv_110106,Ereguayquín,l10n_sv_base_location.zip_sv_1101_03407
district_sv_110110,Jucuarán,l10n_sv_base_location.zip_sv_1101_03411
district_sv_110113,Ozatlán,l10n_sv_base_location.zip_sv_1101_03415
district_sv_110117,San Dionisio,l10n_sv_base_location.zip_sv_1101_03420
